strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
order_blocks,ETH,1d,-20.487691097344495,-0.013524234027752253,-57.9,-1.522,4,-50.02,-1.655,2,-57.9,-1.522,4
vwap_reversion,ETH,1d,-20.487691097344495,-0.013524234027752253,-53.28,-0.749,92,-17.73,-0.261,33,-47.45,-0.759,68
chart_pattern,ETH,1d,-20.487691097344495,-0.013524234027752253,30.21,0.975,1,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
parabolic_sar,ETH,1d,-20.487691097344495,-0.013524234027752253,-35.57,-0.685,16,-25.14,-0.83,6,-41.54,-1.166,10
range_scalper,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
adx_trend,ETH,1d,-20.487691097344495,-0.013524234027752253,-13.35,-0.462,3,-13.35,-0.462,3,-13.35,-0.462,3
donchian_breakout,ETH,1d,-20.487691097344495,-0.013524234027752253,-0.95,0.205,4,-12.65,-0.073,4,-12.65,-0.073,4
tema_cross,ETH,1d,-20.487691097344495,-0.013524234027752253,2.05,0.211,5,14.4,0.659,2,14.4,0.659,2
sma_crossover,SOL,1d,-47.707827863618945,-0.5542840781585064,-42.31,-0.834,4,-39.1,-0.753,3,-39.1,-0.753,3
ema_crossover,SOL,1d,-47.707827863618945,-0.5542840781585064,-35.36,-0.706,9,-35.16,-1.643,3,-35.16,-1.643,3
rsi,SOL,1d,-47.707827863618945,-0.5542840781585064,-42.22,-0.887,1,0.0,0.0,0,-42.22,-0.887,1
bollinger_bands,SOL,1d,-47.707827863618945,-0.5542840781585064,-45.68,-0.847,3,0.0,0.0,0,-51.69,-1.108,2
macd,SOL,1d,-47.707827863618945,-0.5542840781585064,-32.64,-0.475,15,-16.76,-0.511,4,-37.15,-0.806,9
mean_reversion,SOL,1d,-47.707827863618945,-0.5542840781585064,-46.62,-1.003,4,0.0,0.0,0,-48.77,-1.154,3
momentum,SOL,1d,-47.707827863618945,-0.5542840781585064,-44.4,-0.912,10,-21.94,-0.566,3,-42.23,-1.138,6
volume_weighted,SOL,1d,-47.707827863618945,-0.5542840781585064,-58.23,-1.047,2,0.0,0.0,0,-3.87,-0.055,1
triple_ema,SOL,1d,-47.707827863618945,-0.5542840781585064,-27.0,-0.578,5,-18.5,-1.012,1,-18.5,-1.012,1
rsi_macd_combo,SOL,1d,-47.707827863618945,-0.5542840781585064,-57.77,-1.409,1,0.0,0.0,0,-57.77,-1.409,1
stoch_rsi,SOL,1d,-47.707827863618945,-0.5542840781585064,-17.09,-0.136,7,26.85,0.965,1,-20.88,-0.275,5
supertrend,SOL,1d,-47.707827863618945,-0.5542840781585064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,SOL,1d,-47.707827863618945,-0.5542840781585064,-68.4,-1.558,4,-62.16,-1.298,2,-62.16,-1.298,2
pairs_spread,SOL,1d,-47.707827863618945,-0.5542840781585064,-34.21,-0.852,2,0.0,0.0,0,-34.21,-0.852,2
squeeze_momentum,SOL,1d,-47.707827863618945,-0.5542840781585064,-52.71,-1.064,2,-33.32,-0.745,2,-33.32,-0.745,2
atr_breakout,SOL,1d,-47.707827863618945,-0.5542840781585064,-10.62,-0.097,3,-8.12,-0.222,2,-14.61,-0.267,3
amd_ifvg,SOL,1d,-47.707827863618945,-0.5542840781585064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,SOL,1d,-47.707827863618945,-0.5542840781585064,-38.66,-0.781,9,-39.42,-1.252,4,-43.82,-1.427,5
order_blocks,SOL,1d,-47.707827863618945,-0.5542840781585064,25.9,0.851,3,10.79,0.518,2,20.29,0.766,3
vwap_reversion,SOL,1d,-47.707827863618945,-0.5542840781585064,-54.73,-0.674,91,-28.4,-0.714,27,-48.04,-0.754,59
chart_pattern,SOL,1d,-47.707827863618945,-0.5542840781585064,-17.37,-0.159,2,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,SOL,1d,-47.707827863618945,-0.5542840781585064,-11.28,-0.091,2,0.0,0.0,0,-11.28,-0.091,2
parabolic_sar,SOL,1d,-47.707827863618945,-0.5542840781585064,-26.45,-0.382,13,-1.29,0.033,2,-28.58,-0.648,8
range_scalper,SOL,1d,-47.707827863618945,-0.5542840781585064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,SOL,1d,-47.707827863618945,-0.5542840781585064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
adx_trend,SOL,1d,-47.707827863618945,-0.5542840781585064,-7.15,-0.948,1,-7.15,-0.948,1,-7.15,-0.948,1
donchian_breakout,SOL,1d,-47.707827863618945,-0.5542840781585064,-21.98,-0.371,4,-28.84,-0.7,3,-28.84,-0.7,3
tema_cross,SOL,1d,-47.707827863618945,-0.5542840781585064,-16.02,-0.319,4,-14.34,-0.43,2,-14.34,-0.43,2
sma_crossover,XRP,1d,-38.742636229749635,-0.3933982701377666,-40.78,-1.511,4,-34.9,-1.293,3,-34.9,-1.293,3
ema_crossover,XRP,1d,-38.742636229749635,-0.3933982701377666,-29.22,-0.728,9,-26.81,-2.05,2,-26.81,-2.05,2
rsi,XRP,1d,-38.742636229749635,-0.3933982701377666,-22.12,-0.412,2,0.0,0.0,0,-22.12,-0.412,2
bollinger_bands,XRP,1d,-38.742636229749635,-0.3933982701377666,-5.79,0.159,3,0.0,0.0,0,-22.9,-0.304,2
macd,XRP,1d,-38.742636229749635,-0.3933982701377666,-26.19,-0.371,13,0.0,0.0,0,-34.18,-1.13,6
mean_reversion,XRP,1d,-38.742636229749635,-0.3933982701377666,-9.79,-0.022,7,-3.02,-0.184,1,-16.59,-0.232,4
momentum,XRP,1d,-38.742636229749635,-0.3933982701377666,-31.87,-0.775,9,-22.9,-0.925,3,-32.08,-1.219,5
volume_weighted,XRP,1d,-38.742636229749635,-0.3933982701377666,-37.63,-0.917,2,-33.44,-0.789,1,-33.44,-0.789,1
