strategy,asset,tf,ret,sharpe,mdd,trades,win,bench_ret,bench_sharpe,bench_mdd,alpha_ret,alpha_sharpe,beats_bh
rsi_macd_combo,ETH,1d,-22.0,-0.33,-45.67,1,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-1.512308902655505,-0.31647576597224775,False
stoch_rsi,ETH,1d,-3.81,0.105,-45.69,8,62.5,-20.487691097344495,-0.013524234027752253,-62.23558080170783,16.677691097344496,0.11852423402775225,True
supertrend,ETH,1d,0.0,0.0,0.0,0,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,20.487691097344495,0.013524234027752253,False
ichimoku_cloud,ETH,1d,-29.19,-1.69,-29.22,2,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-8.702308902655506,-1.6764757659722478,False
pairs_spread,ETH,1d,-26.65,-0.729,-37.11,4,25.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-6.162308902655504,-0.7154757659722477,False
squeeze_momentum,ETH,1d,-14.04,0.04,-60.43,2,50.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,6.447691097344496,0.053524234027752256,False
atr_breakout,ETH,1d,5.25,0.335,-38.22,4,25.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,25.737691097344495,0.3485242340277523,True
amd_ifvg,ETH,1d,0.0,0.0,0.0,0,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,20.487691097344495,0.013524234027752253,False
heikin_ashi_ema,ETH,1d,-20.38,-0.299,-41.77,10,30.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,0.107691097344496,-0.2854757659722477,False
order_blocks,ETH,1d,-57.9,-1.522,-61.62,4,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-37.412308902655504,-1.5084757659722479,False
vwap_reversion,ETH,1d,-53.28,-0.749,-64.4,92,51.09,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-32.792308902655506,-0.7354757659722477,False
chart_pattern,ETH,1d,30.21,0.975,-20.35,1,100.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,50.697691097344496,0.9885242340277522,False
liquidity_sweeps,ETH,1d,0.0,0.0,0.0,0,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,20.487691097344495,0.013524234027752253,False
parabolic_sar,ETH,1d,-35.57,-0.685,-57.76,16,31.25,-20.487691097344495,-0.013524234027752253,-62.23558080170783,-15.082308902655505,-0.6714757659722478,False
range_scalper,ETH,1d,0.0,0.0,0.0,0,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,20.487691097344495,0.013524234027752253,False
sweep_squeeze_combo,ETH,1d,0.0,0.0,0.0,0,0.0,-20.487691097344495,-0.013524234027752253,-62.23558080170783,20.487691097344495,0.013524234027752253,False
adx_trend,ETH,1d,-13.35,-0.462,-16.93,3,33.33,-20.487691097344495,-0.013524234027752253,-62.23558080170783,7.137691097344495,-0.44847576597224775,False
