strategy,asset,tf,ret,sharpe,mdd,trades,win,bench_ret,bench_sharpe,bench_mdd,alpha_ret,alpha_sharpe,beats_bh
heikin_ashi_ema,ADA,1d,-51.02,-1.315,-59.64,9,22.22,-65.91399416909621,-1.038830768237757,-75.76451008945288,14.89399416909621,-0.27616923176224284,False
order_blocks,ADA,1d,-55.52,-1.483,-58.88,2,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,10.39399416909621,-0.444169231762243,False
vwap_reversion,ADA,1d,-68.47,-1.139,-72.14,91,48.35,-65.91399416909621,-1.038830768237757,-75.76451008945288,-2.5560058309037856,-0.1001692317622429,False
chart_pattern,ADA,1d,0.0,0.0,0.0,0,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,65.91399416909621,1.038830768237757,False
liquidity_sweeps,ADA,1d,-66.56,-1.602,-66.7,1,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,-0.646005830903789,-0.563169231762243,False
parabolic_sar,ADA,1d,-49.25,-0.964,-66.11,16,18.75,-65.91399416909621,-1.038830768237757,-75.76451008945288,16.663994169096213,0.07483076823775714,True
range_scalper,ADA,1d,0.0,0.0,0.0,0,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,65.91399416909621,1.038830768237757,False
sweep_squeeze_combo,ADA,1d,-70.52,-1.582,-73.27,1,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,-4.606005830903783,-0.543169231762243,False
adx_trend,ADA,1d,-42.18,-1.308,-49.66,3,0.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,23.733994169096214,-0.26916923176224294,False
donchian_breakout,ADA,1d,-35.74,-0.987,-55.57,4,25.0,-65.91399416909621,-1.038830768237757,-75.76451008945288,30.17399416909621,0.05183076823775712,True
tema_cross,ADA,1d,-0.08,0.128,-16.47,3,33.33,-65.91399416909621,-1.038830768237757,-75.76451008945288,65.83399416909621,1.166830768237757,False
sma_crossover,AVAX,1d,-38.57,-0.608,-57.63,4,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,18.675192307692306,0.06958901800099826,True
ema_crossover,AVAX,1d,-40.95,-0.642,-58.69,7,14.29,-57.24519230769231,-0.6775890180009982,-76.47727272727273,16.295192307692304,0.03558901800099823,True
rsi,AVAX,1d,-48.03,-0.811,-66.06,2,50.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,9.215192307692305,-0.1334109819990018,False
bollinger_bands,AVAX,1d,-47.93,-1.075,-58.07,2,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,9.315192307692307,-0.3974109819990017,False
macd,AVAX,1d,-42.86,-0.656,-57.01,14,28.57,-57.24519230769231,-0.6775890180009982,-76.47727272727273,14.385192307692307,0.021589018000998217,True
mean_reversion,AVAX,1d,-48.04,-1.052,-55.49,4,25.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,9.205192307692307,-0.3744109819990018,False
momentum,AVAX,1d,5.28,0.343,-34.0,9,22.22,-57.24519230769231,-0.6775890180009982,-76.47727272727273,62.52519230769231,1.0205890180009982,True
volume_weighted,AVAX,1d,10.33,0.457,-24.86,2,50.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,67.5751923076923,1.1345890180009983,False
triple_ema,AVAX,1d,-33.42,-0.707,-35.83,7,14.29,-57.24519230769231,-0.6775890180009982,-76.47727272727273,23.825192307692305,-0.029410981999001717,False
rsi_macd_combo,AVAX,1d,-13.5,-0.013,-48.66,3,33.33,-57.24519230769231,-0.6775890180009982,-76.47727272727273,43.74519230769231,0.6645890180009982,False
stoch_rsi,AVAX,1d,-35.42,-0.429,-61.07,7,57.14,-57.24519230769231,-0.6775890180009982,-76.47727272727273,21.825192307692305,0.24858901800099825,True
supertrend,AVAX,1d,0.0,0.0,0.0,0,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,57.24519230769231,0.6775890180009982,False
ichimoku_cloud,AVAX,1d,-59.88,-1.326,-70.57,3,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,-2.634807692307696,-0.6484109819990018,False
pairs_spread,AVAX,1d,-49.12,-1.174,-53.28,2,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,8.12519230769231,-0.4964109819990017,False
squeeze_momentum,AVAX,1d,-68.52,-1.389,-77.16,3,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,-11.27480769230769,-0.7114109819990018,False
atr_breakout,AVAX,1d,-44.94,-1.134,-55.51,3,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,12.305192307692309,-0.45641098199900165,False
amd_ifvg,AVAX,1d,0.0,0.0,0.0,0,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,57.24519230769231,0.6775890180009982,False
heikin_ashi_ema,AVAX,1d,-13.49,-0.141,-39.36,7,42.86,-57.24519230769231,-0.6775890180009982,-76.47727272727273,43.755192307692305,0.5365890180009982,True
order_blocks,AVAX,1d,-69.11,-1.961,-70.2,4,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,-11.864807692307693,-1.2834109819990018,False
vwap_reversion,AVAX,1d,-51.24,-0.622,-62.61,89,57.3,-57.24519230769231,-0.6775890180009982,-76.47727272727273,6.005192307692305,0.05558901800099825,True
chart_pattern,AVAX,1d,-35.32,-0.94,-46.59,2,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,21.925192307692306,-0.2624109819990017,False
liquidity_sweeps,AVAX,1d,-53.61,-1.139,-60.21,2,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,3.635192307692307,-0.46141098199900177,False
parabolic_sar,AVAX,1d,-41.5,-0.765,-57.96,17,23.53,-57.24519230769231,-0.6775890180009982,-76.47727272727273,15.745192307692307,-0.08741098199900177,False
range_scalper,AVAX,1d,0.0,0.0,0.0,0,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,57.24519230769231,0.6775890180009982,False
sweep_squeeze_combo,AVAX,1d,0.0,0.0,0.0,0,0.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,57.24519230769231,0.6775890180009982,False
adx_trend,AVAX,1d,-59.98,-1.004,-77.47,2,50.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,-2.7348076923076903,-0.32641098199900176,False
donchian_breakout,AVAX,1d,-3.43,0.203,-46.81,2,50.0,-57.24519230769231,-0.6775890180009982,-76.47727272727273,53.81519230769231,0.8805890180009983,False
tema_cross,AVAX,1d,-7.51,-0.069,-22.59,6,16.67,-57.24519230769231,-0.6775890180009982,-76.47727272727273,49.73519230769231,0.6085890180009983,True
sma_crossover,LINK,1d,-0.42,0.222,-34.87,4,50.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,34.132612741589114,0.3809016061878744,True
ema_crossover,LINK,1d,-10.64,0.032,-43.24,7,28.57,-34.552612741589115,-0.1589016061878744,-70.52906110283159,23.912612741589115,0.1909016061878744,True
rsi,LINK,1d,19.19,0.747,-14.92,1,100.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,53.74261274158911,0.9059016061878744,False
bollinger_bands,LINK,1d,-41.84,-0.73,-61.54,3,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-7.287387258410888,-0.5710983938121256,False
macd,LINK,1d,-28.95,-0.235,-58.35,14,28.57,-34.552612741589115,-0.1589016061878744,-70.52906110283159,5.602612741589116,-0.07609839381212558,False
mean_reversion,LINK,1d,-43.8,-0.931,-54.09,5,60.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-9.247387258410882,-0.7720983938121256,False
momentum,LINK,1d,-30.37,-0.407,-59.38,10,30.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,4.182612741589114,-0.24809839381212556,False
volume_weighted,LINK,1d,-11.21,0.139,-58.09,3,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,23.342612741589114,0.2979016061878744,False
triple_ema,LINK,1d,-16.14,-0.163,-28.77,6,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,18.412612741589115,-0.004098393812125595,False
rsi_macd_combo,LINK,1d,-28.42,-0.329,-59.28,2,50.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,6.132612741589114,-0.1700983938121256,False
stoch_rsi,LINK,1d,-12.07,-0.03,-43.98,7,42.86,-34.552612741589115,-0.1589016061878744,-70.52906110283159,22.482612741589115,0.1289016061878744,True
supertrend,LINK,1d,0.0,0.0,0.0,0,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,34.552612741589115,0.1589016061878744,False
ichimoku_cloud,LINK,1d,-40.09,-0.879,-48.19,4,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-5.537387258410888,-0.7200983938121256,False
pairs_spread,LINK,1d,-43.49,-0.996,-54.05,3,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-8.937387258410887,-0.8370983938121256,False
squeeze_momentum,LINK,1d,-58.08,-1.316,-64.53,2,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-23.527387258410883,-1.1570983938121255,False
atr_breakout,LINK,1d,-32.5,-0.28,-64.52,3,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,2.0526127415891153,-0.12109839381212562,False
amd_ifvg,LINK,1d,0.0,0.0,0.0,0,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,34.552612741589115,0.1589016061878744,False
heikin_ashi_ema,LINK,1d,-4.45,0.156,-35.9,7,42.86,-34.552612741589115,-0.1589016061878744,-70.52906110283159,30.102612741589116,0.31490160618787444,True
order_blocks,LINK,1d,-44.29,-0.624,-64.52,3,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-9.737387258410884,-0.4650983938121256,False
vwap_reversion,LINK,1d,-36.98,-0.269,-51.77,91,58.24,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-2.4273872584108815,-0.1100983938121256,False
chart_pattern,LINK,1d,-36.06,-0.923,-43.91,1,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-1.507387258410887,-0.7640983938121256,False
liquidity_sweeps,LINK,1d,-34.65,-0.634,-51.68,1,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-0.09738725841088325,-0.4750983938121256,False
parabolic_sar,LINK,1d,-28.68,-0.241,-62.2,15,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,5.872612741589116,-0.08209839381212558,False
range_scalper,LINK,1d,0.0,0.0,0.0,0,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,34.552612741589115,0.1589016061878744,False
sweep_squeeze_combo,LINK,1d,-23.6,-0.512,-33.91,1,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,10.952612741589114,-0.3530983938121256,False
adx_trend,LINK,1d,-46.32,-0.537,-68.46,3,0.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,-11.767387258410885,-0.3780983938121256,False
donchian_breakout,LINK,1d,24.98,0.708,-33.73,3,33.33,-34.552612741589115,-0.1589016061878744,-70.52906110283159,59.53261274158912,0.8669016061878744,False
tema_cross,LINK,1d,15.07,0.546,-19.11,4,25.0,-34.552612741589115,-0.1589016061878744,-70.52906110283159,49.622612741589116,0.7049016061878745,True
sma_crossover,BTC,4h,-12.56,-0.407,-36.3,26,46.15,-28.87832475634141,-0.6384112315597915,-49.96244437821047,16.31832475634141,0.23141123155979154,True
ema_crossover,BTC,4h,-44.25,-2.061,-48.46,47,23.4,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-15.37167524365859,-1.4225887684402085,False
rsi,BTC,4h,-21.92,-0.574,-43.06,9,66.67,-28.87832475634141,-0.6384112315597915,-49.96244437821047,6.958324756341408,0.06441123155979156,True
bollinger_bands,BTC,4h,-7.6,-0.112,-34.15,24,58.33,-28.87832475634141,-0.6384112315597915,-49.96244437821047,21.278324756341412,0.5264112315597915,True
macd,BTC,4h,-34.51,-1.198,-39.64,87,31.03,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-5.631675243658588,-0.5595887684402084,False
mean_reversion,BTC,4h,-23.48,-0.73,-45.6,31,54.84,-28.87832475634141,-0.6384112315597915,-49.96244437821047,5.39832475634141,-0.09158876844020847,False
momentum,BTC,4h,-33.8,-1.364,-42.76,13,15.38,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-4.921675243658587,-0.7255887684402086,False
volume_weighted,BTC,4h,7.86,0.422,-20.24,18,50.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,36.73832475634141,1.0604112315597916,True
triple_ema,BTC,4h,-19.38,-0.869,-25.57,37,35.14,-28.87832475634141,-0.6384112315597915,-49.96244437821047,9.498324756341411,-0.23058876844020848,False
rsi_macd_combo,BTC,4h,-24.99,-0.708,-37.74,12,50.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,3.8883247563414116,-0.06958876844020845,False
stoch_rsi,BTC,4h,-29.6,-1.094,-42.29,51,49.02,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-0.7216752436585914,-0.45558876844020857,False
supertrend,BTC,4h,0.0,0.0,0.0,0,0.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,28.87832475634141,0.6384112315597915,False
ichimoku_cloud,BTC,4h,-7.4,-0.201,-27.94,11,36.36,-28.87832475634141,-0.6384112315597915,-49.96244437821047,21.478324756341408,0.4374112315597915,True
pairs_spread,BTC,4h,-6.77,-0.104,-40.01,25,76.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,22.10832475634141,0.5344112315597915,True
squeeze_momentum,BTC,4h,-9.27,-0.248,-26.9,12,25.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,19.60832475634141,0.3904112315597915,True
atr_breakout,BTC,4h,-29.14,-1.27,-37.13,23,30.43,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-0.2616752436585905,-0.6315887684402085,False
amd_ifvg,BTC,4h,0.0,0.0,0.0,0,0.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,28.87832475634141,0.6384112315597915,False
heikin_ashi_ema,BTC,4h,-28.02,-1.027,-36.85,49,32.65,-28.87832475634141,-0.6384112315597915,-49.96244437821047,0.8583247563414105,-0.3885887684402084,False
order_blocks,BTC,4h,-11.62,-0.399,-27.68,21,42.86,-28.87832475634141,-0.6384112315597915,-49.96244437821047,17.25832475634141,0.2394112315597915,True
vwap_reversion,BTC,4h,-37.35,-1.361,-50.01,174,63.22,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-8.471675243658591,-0.7225887684402085,False
chart_pattern,BTC,4h,-28.2,-1.155,-41.79,17,29.41,-28.87832475634141,-0.6384112315597915,-49.96244437821047,0.6783247563414108,-0.5165887684402085,False
liquidity_sweeps,BTC,4h,-33.57,-1.196,-41.35,10,60.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-4.69167524365859,-0.5575887684402084,False
parabolic_sar,BTC,4h,-40.41,-1.627,-46.21,96,34.38,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-11.531675243658587,-0.9885887684402085,False
range_scalper,BTC,4h,0.0,0.0,0.0,0,0.0,-28.87832475634141,-0.6384112315597915,-49.96244437821047,28.87832475634141,0.6384112315597915,False
sweep_squeeze_combo,BTC,4h,-24.74,-0.878,-34.21,3,33.33,-28.87832475634141,-0.6384112315597915,-49.96244437821047,4.138324756341412,-0.2395887684402085,False
adx_trend,BTC,4h,-41.98,-1.508,-54.06,14,35.71,-28.87832475634141,-0.6384112315597915,-49.96244437821047,-13.101675243658587,-0.8695887684402085,False
donchian_breakout,BTC,4h,-22.3,-0.774,-35.92,24,45.83,-28.87832475634141,-0.6384112315597915,-49.96244437821047,6.578324756341409,-0.1355887684402085,False
tema_cross,BTC,4h,-17.45,-1.219,-28.56,29,34.48,-28.87832475634141,-0.6384112315597915,-49.96244437821047,11.42832475634141,-0.5805887684402086,False
sma_crossover,ETH,4h,-3.12,0.122,-46.33,24,33.33,-19.942043523085072,-0.042376768921321695,-62.4012345297476,16.82204352308507,0.1643767689213217,True
ema_crossover,ETH,4h,-25.31,-0.471,-54.61,39,20.51,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-5.367956476914927,-0.4286232310786783,False
rsi,ETH,4h,-4.73,0.103,-46.58,9,66.67,-19.942043523085072,-0.042376768921321695,-62.4012345297476,15.212043523085072,0.14537676892132168,True
bollinger_bands,ETH,4h,-30.21,-0.523,-49.69,22,54.55,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-10.267956476914929,-0.4806232310786783,False
macd,ETH,4h,-27.11,-0.456,-57.25,85,31.76,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-7.167956476914927,-0.4136232310786783,False
mean_reversion,ETH,4h,-1.9,0.171,-34.53,31,61.29,-19.942043523085072,-0.042376768921321695,-62.4012345297476,18.042043523085074,0.2133767689213217,True
momentum,ETH,4h,-31.77,-0.686,-55.87,27,25.93,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-11.827956476914927,-0.6436232310786784,False
volume_weighted,ETH,4h,13.6,0.514,-37.03,15,40.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,33.54204352308507,0.5563767689213217,True
triple_ema,ETH,4h,-22.82,-0.534,-42.21,37,29.73,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-2.877956476914928,-0.49162323107867834,False
rsi_macd_combo,ETH,4h,-25.73,-0.379,-53.61,14,57.14,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-5.787956476914928,-0.3366232310786783,False
stoch_rsi,ETH,4h,-6.54,0.084,-44.68,48,52.08,-19.942043523085072,-0.042376768921321695,-62.4012345297476,13.402043523085073,0.1263767689213217,True
supertrend,ETH,4h,0.0,0.0,0.0,0,0.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,19.942043523085072,0.042376768921321695,False
ichimoku_cloud,ETH,4h,66.46,1.435,-25.4,7,57.14,-19.942043523085072,-0.042376768921321695,-62.4012345297476,86.40204352308507,1.4773767689213217,True
pairs_spread,ETH,4h,-16.03,-0.196,-47.28,22,59.09,-19.942043523085072,-0.042376768921321695,-62.4012345297476,3.912043523085071,-0.1536232310786783,False
squeeze_momentum,ETH,4h,4.47,0.315,-44.36,5,60.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,24.41204352308507,0.3573767689213217,True
atr_breakout,ETH,4h,15.69,0.553,-35.18,23,34.78,-19.942043523085072,-0.042376768921321695,-62.4012345297476,35.63204352308507,0.5953767689213217,True
amd_ifvg,ETH,4h,0.0,0.0,0.0,0,0.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,19.942043523085072,0.042376768921321695,False
heikin_ashi_ema,ETH,4h,-48.4,-1.215,-67.47,56,28.57,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-28.457956476914926,-1.1726232310786784,False
order_blocks,ETH,4h,-6.38,0.086,-47.21,22,40.91,-19.942043523085072,-0.042376768921321695,-62.4012345297476,13.562043523085073,0.1283767689213217,True
vwap_reversion,ETH,4h,-27.85,-0.441,-56.97,175,62.29,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-7.907956476914929,-0.3986232310786783,False
chart_pattern,ETH,4h,-3.84,0.118,-43.01,10,40.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,16.102043523085072,0.1603767689213217,True
liquidity_sweeps,ETH,4h,-38.65,-0.846,-54.62,9,55.56,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-18.707956476914926,-0.8036232310786783,False
parabolic_sar,ETH,4h,-38.94,-0.76,-66.45,89,43.82,-19.942043523085072,-0.042376768921321695,-62.4012345297476,-18.997956476914926,-0.7176232310786783,False
range_scalper,ETH,4h,0.0,0.0,0.0,0,0.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,19.942043523085072,0.042376768921321695,False
sweep_squeeze_combo,ETH,4h,-18.02,-0.079,-62.4,4,50.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,1.9220435230850725,-0.036623231078678306,False
adx_trend,ETH,4h,4.78,0.318,-35.6,16,37.5,-19.942043523085072,-0.042376768921321695,-62.4012345297476,24.722043523085073,0.3603767689213217,True
donchian_breakout,ETH,4h,-16.74,-0.199,-38.77,23,34.78,-19.942043523085072,-0.042376768921321695,-62.4012345297476,3.2020435230850737,-0.15662323107867832,False
tema_cross,ETH,4h,2.28,0.221,-33.76,25,40.0,-19.942043523085072,-0.042376768921321695,-62.4012345297476,22.222043523085073,0.26337676892132167,True
sma_crossover,SOL,4h,-11.17,-0.032,-40.57,24,45.83,-46.880269814502526,-0.5616775994226394,-69.18097382493667,35.710269814502524,0.5296775994226394,True
ema_crossover,SOL,4h,-51.94,-1.379,-61.15,44,22.73,-46.880269814502526,-0.5616775994226394,-69.18097382493667,-5.059730185497472,-0.8173224005773606,False
rsi,SOL,4h,-18.14,-0.115,-61.28,10,70.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,28.740269814502525,0.4466775994226394,True
bollinger_bands,SOL,4h,-16.39,-0.079,-58.76,24,54.17,-46.880269814502526,-0.5616775994226394,-69.18097382493667,30.490269814502525,0.4826775994226394,True
macd,SOL,4h,-42.56,-0.809,-62.56,83,32.53,-46.880269814502526,-0.5616775994226394,-69.18097382493667,4.320269814502524,-0.24732240057736066,False
mean_reversion,SOL,4h,-42.04,-0.884,-54.67,33,63.64,-46.880269814502526,-0.5616775994226394,-69.18097382493667,4.840269814502527,-0.3223224005773606,False
momentum,SOL,4h,-52.29,-1.268,-58.13,31,32.26,-46.880269814502526,-0.5616775994226394,-69.18097382493667,-5.409730185497473,-0.7063224005773606,False
volume_weighted,SOL,4h,-21.03,-0.385,-35.8,15,26.67,-46.880269814502526,-0.5616775994226394,-69.18097382493667,25.850269814502525,0.1766775994226394,True
triple_ema,SOL,4h,-43.04,-1.32,-48.84,40,20.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,3.840269814502527,-0.7583224005773607,False
rsi_macd_combo,SOL,4h,-30.1,-0.394,-56.86,12,58.33,-46.880269814502526,-0.5616775994226394,-69.18097382493667,16.780269814502525,0.16767759942263938,True
stoch_rsi,SOL,4h,-21.88,-0.218,-64.04,47,57.45,-46.880269814502526,-0.5616775994226394,-69.18097382493667,25.000269814502527,0.3436775994226394,True
supertrend,SOL,4h,0.0,0.0,0.0,0,0.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,46.880269814502526,0.5616775994226394,False
ichimoku_cloud,SOL,4h,6.34,0.367,-38.3,8,37.5,-46.880269814502526,-0.5616775994226394,-69.18097382493667,53.22026981450253,0.9286775994226394,True
pairs_spread,SOL,4h,-34.04,-0.678,-53.77,25,56.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,12.840269814502527,-0.11632240057736065,False
squeeze_momentum,SOL,4h,-22.92,-0.24,-46.7,6,33.33,-46.880269814502526,-0.5616775994226394,-69.18097382493667,23.960269814502524,0.3216775994226394,True
atr_breakout,SOL,4h,-59.3,-1.684,-69.79,29,31.03,-46.880269814502526,-0.5616775994226394,-69.18097382493667,-12.419730185497471,-1.1223224005773607,False
amd_ifvg,SOL,4h,0.0,0.0,0.0,0,0.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,46.880269814502526,0.5616775994226394,False
heikin_ashi_ema,SOL,4h,-42.69,-1.016,-55.64,61,34.43,-46.880269814502526,-0.5616775994226394,-69.18097382493667,4.190269814502528,-0.4543224005773606,False
order_blocks,SOL,4h,-28.23,-0.419,-51.77,23,34.78,-46.880269814502526,-0.5616775994226394,-69.18097382493667,18.650269814502526,0.1426775994226394,True
vwap_reversion,SOL,4h,-41.23,-0.674,-62.49,182,62.09,-46.880269814502526,-0.5616775994226394,-69.18097382493667,5.650269814502529,-0.11232240057736065,False
chart_pattern,SOL,4h,-15.0,-0.141,-34.51,9,22.22,-46.880269814502526,-0.5616775994226394,-69.18097382493667,31.880269814502526,0.4206775994226394,True
liquidity_sweeps,SOL,4h,-34.54,-0.657,-57.26,8,50.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,12.340269814502527,-0.09532240057736063,False
parabolic_sar,SOL,4h,-41.62,-0.788,-57.65,90,41.11,-46.880269814502526,-0.5616775994226394,-69.18097382493667,5.260269814502529,-0.22632240057736064,False
range_scalper,SOL,4h,0.0,0.0,0.0,0,0.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,46.880269814502526,0.5616775994226394,False
sweep_squeeze_combo,SOL,4h,-45.64,-0.669,-69.18,2,0.0,-46.880269814502526,-0.5616775994226394,-69.18097382493667,1.2402698145025255,-0.10732240057736064,False
adx_trend,SOL,4h,-67.34,-2.116,-68.72,14,21.43,-46.880269814502526,-0.5616775994226394,-69.18097382493667,-20.459730185497477,-1.5543224005773606,False
donchian_breakout,SOL,4h,-32.36,-0.547,-55.5,23,34.78,-46.880269814502526,-0.5616775994226394,-69.18097382493667,14.520269814502527,0.014677599422639354,True
tema_cross,SOL,4h,-7.58,-0.127,-24.49,29,34.48,-46.880269814502526,-0.5616775994226394,-69.18097382493667,39.30026981450253,0.4346775994226394,True
sma_crossover,XRP,4h,0.17,0.208,-40.18,24,41.67,-36.70344302834315,-0.3705056667384541,-66.55545138697403,36.873443028343154,0.578505666738454,True
ema_crossover,XRP,4h,-42.76,-1.099,-60.68,42,14.29,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-6.056556971656846,-0.7284943332615459,False
rsi,XRP,4h,0.35,0.271,-44.42,13,69.23,-36.70344302834315,-0.3705056667384541,-66.55545138697403,37.05344302834315,0.6415056667384541,True
bollinger_bands,XRP,4h,-11.99,0.014,-46.99,21,52.38,-36.70344302834315,-0.3705056667384541,-66.55545138697403,24.71344302834315,0.3845056667384541,True
macd,XRP,4h,-49.34,-1.167,-63.74,94,31.91,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-12.636556971656852,-0.796494333261546,False
mean_reversion,XRP,4h,-49.68,-1.266,-61.64,27,48.15,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-12.976556971656848,-0.8954943332615459,False
momentum,XRP,4h,-37.87,-0.866,-55.68,27,18.52,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-1.1665569716568456,-0.4954943332615459,False
volume_weighted,XRP,4h,-42.15,-0.884,-48.78,11,45.45,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-5.446556971656847,-0.5134943332615459,False
triple_ema,XRP,4h,-34.43,-0.948,-53.26,32,28.12,-36.70344302834315,-0.3705056667384541,-66.55545138697403,2.273443028343152,-0.5774943332615459,False
rsi_macd_combo,XRP,4h,-21.5,-0.201,-43.5,15,53.33,-36.70344302834315,-0.3705056667384541,-66.55545138697403,15.203443028343152,0.16950566673845407,True
stoch_rsi,XRP,4h,0.27,0.253,-47.29,53,50.94,-36.70344302834315,-0.3705056667384541,-66.55545138697403,36.973443028343155,0.6235056667384541,True
supertrend,XRP,4h,0.0,0.0,0.0,0,0.0,-36.70344302834315,-0.3705056667384541,-66.55545138697403,36.70344302834315,0.3705056667384541,False
ichimoku_cloud,XRP,4h,-26.97,-0.531,-54.55,14,21.43,-36.70344302834315,-0.3705056667384541,-66.55545138697403,9.733443028343153,-0.16049433326154594,False
pairs_spread,XRP,4h,-40.28,-0.972,-55.27,23,47.83,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-3.5765569716568493,-0.6014943332615459,False
squeeze_momentum,XRP,4h,-36.02,-0.875,-39.16,10,10.0,-36.70344302834315,-0.3705056667384541,-66.55545138697403,0.6834430283431487,-0.5044943332615459,False
atr_breakout,XRP,4h,-53.27,-1.46,-63.77,28,10.71,-36.70344302834315,-0.3705056667384541,-66.55545138697403,-16.56655697165685,-1.0894943332615459,False
amd_ifvg,XRP,4h,0.0,0.0,0.0,0,0.0,-36.70344302834315,-0.3705056667384541,-66.55545138697403,36.70344302834315,0.3705056667384541,False
