strategy,asset,direction,combos,shp_def,shp_wfo,shp_rnd,tot_def,tot_wfo,tot_rnd,is_shp
sma_crossover,BTC,long,16,0.5938922210433721,0.5635360272557449,0.6016704206609921,65.20620841114358,61.513448899974854,66.80266968981654,2.2925271072132944
sma_crossover,BTC,short,16,-0.9788540862378375,-1.11168203617984,-0.4350621261300856,-65.99472445525036,-68.32227906671449,-42.934517143271286,0.5280910554659034
sma_crossover,ETH,long,16,0.12398600465048176,0.44137247254387385,-0.07442009258173451,-15.626322569382067,40.06585750895542,-39.521929718414825,1.9836715831604046
sma_crossover,ETH,short,16,-0.7376961209030475,-0.5969728795895419,-0.7757535896519655,-68.00223345119221,-60.8834620599376,-71.53254363437078,1.1371155792375802
sma_crossover,SOL,long,16,0.9693018665300495,1.0218688167599916,0.9971931400957003,343.4780501277992,388.070119719907,369.5747136762274,2.210128266234457
sma_crossover,SOL,short,16,-0.2963262801595483,-0.41703224603781724,-0.1489415849697597,-61.80181018867299,-68.16547048730806,-49.46413276650268,1.1202764281899305
sma_crossover,XRP,long,16,0.6983849317994199,0.6164967237799656,0.5196469820649711,126.2925740592629,92.62005207521027,56.743956338595105,1.657832610985146
sma_crossover,XRP,short,16,-0.47521657511782844,-0.5610762576987236,-0.5546410632910966,-53.43613302617426,-56.98885475404012,-55.43986997960011,1.3036982185402797
sma_crossover,DOGE,long,16,0.6301643928766684,0.5434799796844355,0.4327468288578263,153.15195427991216,97.37893250305818,35.610642559903006,1.5015196610138775
sma_crossover,DOGE,short,16,-0.032904914928550764,-0.23277599796165982,-0.09820070812794951,-39.265369630472705,-55.5014673477805,-43.22737382681563,1.2409480550486875
sma_crossover,ADA,long,16,0.18799734809707738,0.3425969357133697,0.2467161393747978,-20.539692699167635,8.892612246983456,-8.758607624989711,1.1190611004218556
sma_crossover,ADA,short,16,-0.332956825629411,-0.2738565288329643,-0.44285902344532596,-68.81087650698127,-64.92396582532713,-76.08708729856014,0.935606545886074
sma_crossover,AVAX,long,16,0.44454624570103546,0.33770914697516397,0.25224379560330124,35.38066291517248,2.011115196514446,-20.69517824897915,1.4132864649795702
sma_crossover,AVAX,short,16,0.13249188440210544,0.06298257255446302,-0.05077829958490944,-24.028587252169242,-35.99793982621539,-47.97870019447619,1.5125544665404498
sma_crossover,LINK,long,16,0.4943476891659401,0.4504257135735296,0.2466299828677502,54.61301906904521,41.5328698356191,-2.7175037738706775,1.6659215883810825
sma_crossover,LINK,short,16,-0.370125384386037,-0.3756042848370435,-0.6614323654078021,-66.67613152382599,-65.33247959313269,-79.40617161644548,1.0408725656793294
ema_crossover,BTC,long,16,0.5006496966732211,0.6490627783030711,0.5976273798146162,49.084066031620054,78.10734895578544,67.85590742157058,1.7850453260597818
ema_crossover,BTC,short,16,-1.1215215785882346,-1.0727820307973395,-0.944105329151769,-68.78750069248973,-68.3756550132466,-64.65216319896385,0.07399269551931197
ema_crossover,ETH,long,16,0.008385605280447628,0.04383846737766814,-0.16007703976331278,-32.1693021257078,-27.447569916865778,-49.52802181105368,1.0161110006243261
ema_crossover,ETH,short,16,-0.8446341721869861,-0.9077570776996429,-0.5201299262793663,-74.99224508835624,-77.79479862617238,-61.388437316358704,0.12621165977484036
ema_crossover,SOL,long,16,0.8381090392998807,0.6973269054989377,0.7518939683910308,238.60513364032477,143.07842847980848,174.61745431722315,1.4910025827624012
ema_crossover,SOL,short,16,-0.4275285043861505,-0.7581648634921943,-0.5047950831523289,-70.18210318055777,-83.05404760726319,-74.44834440546045,0.33298539353834095
ema_crossover,XRP,long,16,0.5693507658033485,0.5556193502059804,0.503759554680373,74.81391175338842,69.59381943584533,52.45306960789753,1.0945746405978476
ema_crossover,XRP,short,16,-0.7087726407910659,-0.7050830801290032,-0.6082714223717095,-64.61977725294524,-59.93325384387029,-55.11912358330231,0.702579423768193
ema_crossover,DOGE,long,16,0.5810370674202444,0.6184720333395303,0.5363899320162178,119.33385779946204,157.6117575681141,90.44445674406644,0.8407811028385657
ema_crossover,DOGE,short,16,-0.12291650055285724,-0.20746727788019007,-0.28777489085272734,-44.871347987009244,-51.53717986882141,-58.86301843685153,0.6550420638603607
ema_crossover,ADA,long,16,0.2324509045127292,0.34640942308531963,0.2622370889577014,-15.219441508361765,8.479666894837191,-9.449768374204059,0.8247267283011704
ema_crossover,ADA,short,16,-0.36183719314077967,-0.23651951455797612,-0.4913541855375986,-65.9467180011569,-54.96420824846652,-75.55396428852137,0.5844334691866307
ema_crossover,AVAX,long,16,0.30270035842730947,0.3137759571541081,0.31775908412950277,-5.025239689062621,-3.446666744911564,-2.0072105694901254,0.8289901669648385
ema_crossover,AVAX,short,16,-0.056731451497617026,0.004835039185542514,-0.07723479593102105,-51.218173950712576,-44.86093174723713,-51.048378101027446,0.9113588169744786
ema_crossover,LINK,long,16,0.17944917916493028,-0.07469528241901413,0.15204226875404847,-21.42977127486062,-53.964209736690904,-24.895219301111236,0.8969919721155242
ema_crossover,LINK,short,16,-0.7664643259002869,-0.994272239243649,-0.49360198513379044,-83.05770892239647,-89.29628892682656,-74.71514484403576,0.28205693136923815
rsi,BTC,long,27,1.0022534489367099,0.3546491539452914,0.5862073664391757,125.95340787263818,21.9356264221275,55.15024642348627,4.55847163927664
rsi,BTC,short,27,-0.4293875467072142,-1.0270371235250007,-1.4749510874350515,-51.19898040993214,-77.20513120963074,-86.5374705281456,2.7496384554226525
rsi,ETH,long,27,0.25880753658009253,-0.22363477540751933,0.12735990130323835,4.430589038435118,-40.87609185157515,-11.62406011771141,4.421982659044595
rsi,ETH,short,27,-0.3551165965430463,-0.6749000195037996,-0.04562276702204793,-54.27484872728695,-73.06490055057873,-33.000008661732394,3.469058643701932
rsi,SOL,long,27,0.27994602837572896,-0.4006953404528144,0.06361313092737675,4.297918318974592,-69.93715993252772,-35.73588314297174,3.966335971546472
rsi,SOL,short,27,-0.7627954664256201,-1.084070336206663,-1.105504189302003,-91.53065754667332,-94.07277528015547,-95.64287909633497,2.873640011721449
rsi,XRP,long,27,0.5774794563859018,0.9098025037475612,0.563756070760619,50.023927285601985,115.67748428017252,51.83527924663449,3.892160966975535
rsi,XRP,short,27,-0.42122706811102395,-0.15980956583829922,-0.04705132482935017,-73.39924936348727,-58.208245594468536,-50.59569930590582,3.403029075494907
rsi,DOGE,long,27,0.19576112892921968,0.16107022758928213,0.10862395322531493,-10.273196484643277,-12.769253505205713,-22.326514294033363,3.857659024917907
rsi,DOGE,short,27,-0.31600805439548907,-0.11967765983463934,-0.31690735419598576,-83.55430470932879,-73.87084975503184,-84.67398201027423,3.4369145842415354
rsi,ADA,long,27,0.08854899046994241,-0.16385359208425748,0.014467290646973394,-27.685511884266813,-51.40078998676223,-39.89943916284662,3.492558406442647
rsi,ADA,short,27,-0.16518886147760728,-0.5596433624292242,-0.19163731202124806,-65.39925785046867,-84.30604841704432,-71.32775863461403,3.263976241896786
rsi,AVAX,long,27,-0.1010571127006282,-0.3367979969747512,-0.25550811945198343,-54.09584183581151,-66.33204978101519,-68.47715209284809,3.5655162162977065
rsi,AVAX,short,27,-0.23458009168885902,-0.41529854873843064,-0.1354697191945685,-76.2022255832565,-82.4621377310182,-72.75595315589274,3.6258491493772977
rsi,LINK,long,27,0.5829630754128181,0.5249199070273074,0.6410302108330075,74.51380516473824,57.92940258300536,98.42071968478893,4.117500341887603
rsi,LINK,short,27,-0.2269854264385708,-0.46850322266751915,-0.1441321509678873,-65.13785882268351,-74.93554883499026,-62.65845242561947,3.3779588922823276
bollinger_bands,BTC,long,12,0.7921883878870898,1.0035020077186045,0.5202397649067133,83.83631096186176,130.57177132081426,40.830171614569544,3.6884861146700834
bollinger_bands,BTC,short,12,-0.6205413849755776,-0.544725130357431,-0.698664277304336,-61.043190994924636,-55.64163394200592,-63.902029550580394,2.1000105632254904
bollinger_bands,ETH,long,12,0.412980828912028,0.6868553141442062,1.1454375239889694,32.916285656062946,88.86979531154226,246.7135616747536,3.485324593441325
bollinger_bands,ETH,short,12,-0.1605278851238127,0.3970232646305192,0.28979149714009295,-44.129309297201004,28.532468312508886,9.730031493407765,2.7941398193181906
bollinger_bands,SOL,long,12,0.5582983838925701,0.5088184151057265,0.45907748881876786,66.80862595302841,54.16197381792615,39.85903818395757,3.539568882056908
bollinger_bands,SOL,short,12,-0.610400736165518,-0.8784028813861244,-0.9250398378006892,-85.1864122740138,-91.88714912954569,-92.72506922635606,2.2617901834377934
bollinger_bands,XRP,long,12,0.403167342600119,0.8815052438988882,0.10447298995520068,26.152567645749336,142.86469275480437,-8.091861986125014,2.8534096665458355
bollinger_bands,XRP,short,12,-0.4286896171387923,-0.22561819610708275,-0.31245368277365476,-74.55635887303357,-61.27041391967632,-66.05911329391618,2.6383741105798624
bollinger_bands,DOGE,long,12,-0.04820615031981907,-0.2750828266055788,-0.21034338886929113,-37.34274255325703,-59.67643452164576,-56.838113064412724,3.0972164945082077
bollinger_bands,DOGE,short,12,-0.42421433551571724,-0.3772242983082929,-0.3447455626406628,-87.91583885990211,-86.48513760693702,-85.73518010696677,2.8953098186406345
bollinger_bands,ADA,long,12,0.18639386071960262,0.2503381942994157,0.45101796993578,-14.336736448448894,0.45557270555720564,39.52751347817962,2.8346590569978978
bollinger_bands,ADA,short,12,-0.04344258324636305,0.06185567245628829,-0.2874783702423111,-56.167200826137375,-47.25265940841279,-70.12730088840152,2.889289599960554
bollinger_bands,AVAX,long,12,-0.21308701801753185,0.13120568778754974,-0.3683441215648969,-61.7921729611687,-24.14299282416945,-72.87881184463821,2.569163042238768
bollinger_bands,AVAX,short,12,-0.31475420251418673,-0.06304370261793882,-0.5047574739623131,-78.94369429100595,-66.76024881726057,-85.4059561112263,2.634131459115221
bollinger_bands,LINK,long,12,0.38332130229760986,-0.1379606827168213,0.216883590787298,26.183098426847053,-45.98036555682806,-5.8048456004436755,3.1885433710805233
bollinger_bands,LINK,short,12,-0.32556397731283343,-0.5338276651289068,-0.3430670905342851,-74.04474317397917,-81.85724459541495,-74.47026959513168,2.42369445932302
macd,BTC,long,27,0.4402604978019454,0.6464381572234523,0.5135947158186408,36.953856680974305,74.19038552577062,49.79700860172562,2.3661069184161008
macd,BTC,short,27,-1.0624406835701297,-0.8534801470078064,-0.8456743893408578,-71.58630530358892,-65.72688182393578,-64.30172011770269,0.49358856100147497
macd,ETH,long,27,0.5029853525615333,0.1385551492571289,0.43627422370415164,55.34304878952392,-10.06319208932409,40.00288746718312,2.0502824700507247
macd,ETH,short,27,-0.1480863436926423,-0.5697575546190459,-0.38528560282027,-40.1734710933925,-64.60208400815198,-56.50422539818012,1.0766552234415028
macd,SOL,long,27,0.550526010806001,0.6502902986646819,0.9625052914402662,68.78362334020464,107.67640718382316,288.0528227194595,2.326496706494386
macd,SOL,short,27,-0.7476122940068036,-0.5977410477863095,-0.4764287641614255,-84.35189312771232,-79.35308085141725,-73.2319713658282,1.138344835495015
macd,XRP,long,27,0.2938212612028771,0.5162377357021216,0.36590326083407837,3.4239430387024816,53.507363473387535,19.453066234986682,1.3169404146719326
macd,XRP,short,27,-1.1069080763848207,-0.8556898599961376,-1.1264791091439457,-80.04837091689114,-73.10401943046459,-81.66116574770845,0.8296158016520374
macd,DOGE,long,27,0.3549502038977614,0.46945592716393864,0.40598853262202367,-4.847307236211873,43.53277479623101,16.19351278547527,1.1720619317311278
macd,DOGE,short,27,-0.5282287665303863,-0.20585689544118924,-0.468332583232598,-76.91192148848488,-57.64527079533268,-71.21002017169975,0.9734803771430806
macd,ADA,long,27,0.2626382850634909,0.06963996594176644,0.20584063668980104,-5.334770088144946,-37.82657517716645,-19.599965517420703,1.3901031131962702
macd,ADA,short,27,-0.260082217668335,-0.49541282395197295,-0.31114025359082936,-57.08792869440427,-72.77457402681713,-61.25876258058711,1.1592525816567334
macd,AVAX,long,27,0.15879718811332894,-0.011203486510270862,0.33726095185840504,-28.902440151115382,-46.047858240237495,4.760570342820936,1.4106816026582378
macd,AVAX,short,27,-0.1859412676004083,-0.2494648119035483,-0.11819161731164113,-61.86574493828852,-69.8781148389129,-56.74267304824561,1.4095619240742656
